id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
174,"Una canalización eléctrica es: (DEFINICION. 26)",,"Los conductores eléctricos y sus elementos de fijación y de protección mecánica.","Los elementos que fijan a los conductores eléctricos.","Los elementos que fijan a los conductores eléctricos y los elementos de protección mecánica.","Los conductores eléctricos y sus elementos de fijación y de protección mecánica."
175,"Un interruptor magnetotérmico no es un dispositivo: (ITC-BT 24)",,"De protección contra sobrecargas.","De mando.","De protección contra contactos indirectos.","De protección contra contactos indirectos."
176,"Se entiende como conductor equipotencial: (DEFINICION. 37)",,"Al conductor de protección que asegura una conexión equipotencial.","Al conductor de un circuito eléctrico, que tiene un potencial cero en condiciones normales de funcionamiento.","Al cable de un circuito eléctrico, que tiene el mismo potencial en todo su recorrido.","Al conductor de protección que asegura una conexión equipotencial."
177,"Se entiende como corriente de puesta a tierra: (DEFINICION. 61)",,"A la que se deriva a tierra a través de la puesta a tierra.","A la corriente que en ausencia de fallos se transmite a los elementos conductores del circuito que estén conectados a tierra.","A la corriente máxima que puede soportar el electrodo de tierra.","A la que se deriva a tierra a través de la puesta a tierra."
178,"Se entiende como tensión nominal de un receptor: (DEFINICION)",,"A la tensión entre fase y neutro si son trifásicos.","A la tensión entre fases si son trifásicos.","A la tensión entre fases si son monofásicos.","A la tensión entre fases si son trifásicos."
179,"Para determinar si un suelo es o no conductor tenemos los datos siguientes: Tensión entre la fase R y la placa metálica: 10 V - Tensión entre la misma fase y tierra: 365 V - Resistencia interna del voltímetro: 3.000 Ohmios. ¿Qué valor se obtendrá para la resistencia del suelo? (ITC-BT 04)",,"106,5 MΩ.","10.650 Ω.","106,5 KΩ.","106,5 KΩ."
180,"¿Cuál es la misión de la unidad funcional de interruptor general de maniobra en una concentración de contadores? (ITC-BT 16)",,"Su misión es dejar fuera de servicio, en caso de necesidad, toda la concentración de contadores.","Su misión es dejar fuera de servicio, en caso de necesidad, parte de la concentración de contadores.","Su misión es proteger la concentración de contadores.","Su misión es dejar fuera de servicio, en caso de necesidad, toda la concentración de contadores."
181,"¿Qué grado mínimo de resistencia a la corrosión deben tener los tubos instalados en montaje superficial en las instalaciones eléctricas de locales mojados? (ITC-BT 30 2.1.1)",,"4.","5.","3.","4."
182,"¿Cómo se pueden realizar las canalizaciones bajo canales aislantes en un local húmedo? (ITC-BT 30)",,"Se instalarán en superficie y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas.","Se instalarán en superficie y las conexiones, empalmes y derivaciones se podrán realizar en el interior de la canal.","Se instalarán empotradas y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas.","Se instalarán en superficie y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas."
183,"Indíquese cuál de las siguientes respuestas es verdadera: (ITC-BT 18)",,"La toma de tierra no deberá establecerse por motivos funcionales.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones funcionales.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones de protección.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones de protección."
184,"El factor de potencia mínimo en instalaciones con generadores síncronos conectados a la red de distribución pública, no será inferior con respecto a la potencia nominal a: (ITC-BT 40 4.3.4)",,"0,8 y sólo se permitirá en adelanto.","0,8, en adelanto o en retraso.","0,8 y sólo se permitirá en retraso.","0,8, en adelanto o en retraso."
185,"¿Puede considerarse un centro de transformación como local afecto a un servicio eléctrico? (ITC-BT 30)",,"No.","Sí.","Solamente si su potencia es superior a 100 kW.","Sí."
186,"Una línea general de alimentación debe transportar una potencia de 120 kW a 400/230V. Se utilizarán conductores de cobre unipolares RZ1-0,6/1 kV bajo tubo empotrado en una pared de mampostería con una longitud de 1 m. ¿Qué sección será necesaria para los conductores de fase? Contadores concentrados en un solo punto. Factor de potencia 0,9 y temperatura ambiente de 40 °C. (UNE 20.460-5-523)",,"50 mm².","95 mm².","70 mm².","95 mm²."
187,"¿Cuál será la anchura mínima de los pasillos de servicio de un local con baterías de acumuladores? (ITC-BT 30)",,"La anchura mínima de los pasillos de servicio será de 0,75 cm.","La anchura mínima de los pasillos de servicio será de 75 cm.","La anchura mínima de los pasillos de servicio será de 75 m.","La anchura mínima de los pasillos de servicio será de 75 cm."
188,"¿Cuál será la sección mínima de los cables de una centralización de contadores? (ITC-BT 16)",,"10 mm².","6 mm².","4 mm².","10 mm²."
189,"¿Cómo se denominará un tubo para una instalación interior según su tamaño? (ITC-BT 21)",,"La denominación se realizará en función del diámetro exterior.","La denominación se realizará en función del diámetro interior.","La denominación se realizará por el diámetro interior o por el diámetro exterior.","La denominación se realizará en función del diámetro exterior."
190,"¿Qué categoría ha de tener un instalador para poder efectuar la instalación de un sistema de automatización de un edificio de pública concurrencia? (ITC-BT 03)",,"Especialista.","Básica.","Puede hacerla un instalador con categoría básica con autorización especial.","Especialista."
191,"Un circuito MBTF, ¿puede considerarse como un circuito a tensión diferente con respecto a un circuito MBTS o un circuito MBTP? (ITC-BT 36)",,"Un circuito MBTF se considera siempre como circuito de tensión diferente.","Si el circuito MBTF y el circuito MBTP son de 24 V se consideran de la misma tensión.","Si el circuito MBTF y el circuito MBTS son de 24 V se consideran de la misma tensión.","Un circuito MBTF se considera siempre como circuito de tensión diferente."
192,"Para los apartados de la norma UNE 20460-7-705 que se encuentran en estudio, ¿qué prescripciones particulares se aplicarán? (ITC-BT 35)",,"Se aplicará lo dispuesto para estos apartados en la ITC-BT 35.","Se aplicará lo dispuesto para estos apartados en instalaciones provisionales y temporales de obra.","Se aplicará lo dispuesto para estos apartados en la ITC-BT 34.","Se aplicará lo dispuesto para estos apartados en la ITC-BT 35."
193,"Los conductores a utilizar en derivaciones individuales serán: (ITC-BT 15)",,"De cobre o aluminio, aislados y normalmente unipolares.","De cobre o aluminio, aislados y unipolares.","De cobre o aluminio, aislados y normalmente multipolares.","De cobre o aluminio, aislados y normalmente unipolares."
194,"¿Cómo denominamos a la tensión que aparece entre partes simultáneamente accesibles al ocurrir un fallo de aislamiento? (DEFINICION. 129)",,"Tensión asignada.","Tensión de defecto.","Tensión de contacto.","Tensión de contacto."
195,"¿Qué es una canalización amovible? (DEFINICION. 25)",,"La que puede ser quitada fácilmente.","La que no puede ser quitada fácilmente.","La que puede ser desplazada cuando está sin tensión.","La que puede ser desplazada cuando está sin tensión."
196,"¿Qué dispositivo se admite para la protección contra cortocircuitos? (ITC-BT 22)",,"Interruptor diferencial.","Interruptor automático con corte omnipolar.","Las dos son correctas.","Interruptor automático con corte omnipolar."
197,"¿A partir de qué potencia prevista se hace necesario un proyecto para la ejecución de una industria? (ITC-BT 04)",,"15 kW.","20 kW.","21 kW.","20 kW."
198,"¿Dónde se situarán los dispositivos generales de mando y protección? (ITC-BT 17)",,"Lo más lejos posible del punto de entrada de la derivación individual en el local o vivienda del usuario.","Lo más cerca posible del punto de entrada de la derivación individual en el local o vivienda del usuario.","Al lado de la puerta de entrada del aseo de la vivienda o local.","Lo más cerca posible del punto de entrada de la derivación individual en el local o vivienda del usuario."
199,"Se podrá instalar un conductor de protección común a varios circuitos en la instalación de una discoteca. (ITC-BT 18)",,"Sí, en cuyo caso su sección debe dimensionarse en función de la fase del circuito de mayor sección.","Nunca.","Sólo en caso debidamente justificados por imposibilidad técnica de instalar un conductor de protección por circuito.","Sí, en cuyo caso su sección debe dimensionarse en función de la fase del circuito de mayor sección."
200,"¿Qué sección será necesaria para alimentar un motor trifásico de 50 CV, factor de potencia 0,6 y alimentado a 400 V? (UNE 20.460-5-523)",,"No puede instalarse un motor con ese factor de potencia.","50 mm².","70 mm².","50 mm²."
201,"Los materiales utilizados para la realización de la toma de tierra deberán: (ITC-BT 18)",,"Ser siempre de cobre.","Ser siempre de aluminio.","No afectar la resistencia mecánica y eléctrica por efecto de la corrosión.","No afectar la resistencia mecánica y eléctrica por efecto de la corrosión."
202,"¿Cómo se instalarán los reóstatos de arranque y regulación de velocidad de un motor? (ITC-BT 47)",,"Deberán estar separados de la instalación por interruptores generales de corte unipolar.","Deberán estar provistos de un aislamiento de clase II.","Deberán estar separados de los muros 5 cm como mínimo.","Deberán estar separados de los muros 5 cm como mínimo."
203,"¿Cómo se instalarán cercas eléctricas para ganado cercanas con diferentes alimentadores? (ITC-BT 39)",,"Se tomarán medidas convenientes para evitar que una persona o animal pueda tocarlas simultáneamente. Normalmente se considera suficiente una separación de 2 m, entre los conductores de unas y otras cercas.","No es posible instalar cercas eléctricas a menos de 4 m con distintas alimentaciones.","Se colocarán carteles que avisen de la existencia de dos fuentes de alimentación independientes.","Se tomarán medidas convenientes para evitar que una persona o animal pueda tocarlas simultáneamente. Normalmente se considera suficiente una separación de 2 m, entre los conductores de unas y otras cercas."
204,"En un edificio de oficinas, ¿qué carga mínima se considera para una oficina de 30m²? (ITC-BT 10)",,"3.000 W.","3.450 W.","5.750 W.","3.450 W."
205,"Indíquese la sección mínima del conductor de tierra de cobre de un edificio industrial si no está protegido contra la corrosión y no protegido mecánicamente, el conductor de fase es de 95 mm² y el conductor de tierra está enterrado: (ITC-BT 18)",,"50 mm².","25 mm².","95 mm².","25 mm²."
206,"¿Qué temperatura máxima de servicio tendrá un cable de PVC para alimentación a paneles de folio radiante? (ITC-BT 46)",,"90 °C.","70 °C.","60 °C.","70 °C."
207,"La intensidad de defecto, umbral de desconexión de los interruptores diferenciales para las instalaciones de alumbrado exterior, será como máximo: (ITC-BT 09)",,"500 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω.","300 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 300 Ω.","1 A si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω.","500 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω."
208,"En una instalación interior, ¿a qué distancia mínima se mantendrán una canalización eléctrica de otra no eléctrica? (ITC-BT 20)",,"5 cm.","3 cm.","4 cm.","5 cm."
209,"¿Cuál es la caída de tensión máxima que puede producirse en la conexión de generadores asíncronos respecto de la tensión asignada de la red cuando están trabajando en paralelo con ella? (ITC-BT 40)",,"8%.","5%.","3%.","3%."
210,"¿Qué norma UNE determina las condiciones que deben cumplir los grados de protección proporcionados por las envolventes? (Código IP) (UNE 20324)",,"UNE 20324.","UNE-EN 50102.","UNE 20460 - 5 - 52.","UNE 20324."
211,"¿Qué desarrolla la norma UNE 20460? (UNE 20460-4-45)",,"Las instalaciones eléctricas de las redes de distribución.","Las instalaciones eléctricas en edificios.","Las instalaciones domóticas.","Las instalaciones eléctricas en edificios."
212,"Para realizar la verificación inicial, previa a la puesta en servicio de una instalación eléctrica, se deben cumplir los procedimientos desarrollados por la norma: (UNE 20460 - 6 -61)",,"UNE 20460 - 6 -61.","UNE 20460 - 5 - 523.","UNE 20460 - 3.","UNE 20460 - 6 -61."
213,"¿Qué norma determina las características que deben cumplir las protecciones para garantizar la seguridad, en las instalaciones eléctricas en edificios? (UNE 20460 Parte 4)",,"UNE 20460 Parte 4.","UNE 20572 Parte 1.","UNE 50085 Parte 1.","UNE 20460 Parte 4."
214,"Al realizar la instalación eléctrica de un quirófano, para aplicar las medidas de protección se instalarán un transformador de aislamiento y un vigilante de aislamiento que cumplirán la norma: (UNE 20615)",,"UNE 20460 - 4 - 41.","UNE 20572 - 1.","UNE 20615.","UNE 20615."
215,"Los cables eléctricos de tensión asignada 0,6/1 kV con aislamiento y cubierta de policloruro de vinilo cumplirán la norma: (UNE 21123-1)",,"UNE 21123 - 1.","UNE 21031 - 9.","UNE 21123 - 2.","UNE 21123 - 1."
216,"La norma UNE 21030 se aplicará a: (UNE 21030-X)",,"Conductores cableados en haz para líneas de distribución y acometidas de Uo/U 450/750 v.","Conductores de Uo/U 450/750 v para Instalaciones interiores de viviendas.","Conductores cableados en haz para líneas de distribución y acometidas de tensión asignada 0,6/1kV.","Conductores cableados en haz para líneas de distribución y acometidas de tensión asignada 0,6/1kV."
217,"Al realizar la instalación de una derivación individual, se han empleado conductores de tensión asignada 450/750 v, con aislamiento de compuesto termoplástico de baja emisión de humos y gases corrosivos, conforme a norma UNE: (UNE 211002)",,"UNE 211002.","UNE 21031 - 9.","UNE 21027 - 9.","UNE 211002."
218,"La norma UNE-EN 50102 determina: (UNE-EN 50102)",,"Los grados de protección proporcionados por las envolventes de materiales eléctricos contra los impactos mecánicos externos. (Código IK)","Los requisitos particulares para sistemas de tubos enterrados.","Los grados de protección proporcionados por las envolventes. (Código IP)","Los grados de protección proporcionados por las envolventes de materiales eléctricos contra los impactos mecánicos externos. (Código IK)"
219,"La norma UNE-EN 61558-2-4 determina los requisitos que deben cumplir: (UNE-EN 61558-2-4)",,"transformadores de separación de circuitos y unidades de alimentación que incorporan transformadores de separación de circuitos","Los transformadores de uso médico.","Los transformadores de las máquinas de afeitar.","transformadores de separación de circuitos y unidades de alimentación que incorporan transformadores de separación de circuitos"
220,"Un interruptor diferencial de 30 mA es de sensibilidad: (ITC-BT 24)",,"Media","Baja","Alta","Alta"
221,"Se entiende por circuito eléctrico: (DEFINICION. 33)",,"Conjunto de materiales eléctricos de distintas polaridades, alimentados por la misma fuente de energía y protegido contra sobreintensidades por el o los mismos dispositivos de protección","Conjunto de materiales eléctricos de distintas polaridades, alimentados por una fuente de energía y protegido contra sobreintensidades por un dispositivo general de protección","Conjunto de materiales eléctricos de distintas polaridades, alimentados por una o varias fuentes de energía y protegido contra sobreintensidades por uno o varios dispositivos comunes de protección","Conjunto de materiales eléctricos de distintas polaridades, alimentados por la misma fuente de energía y protegido contra sobreintensidades por el o los mismos dispositivos de protección"
222,"¿Qué es una canalización amovible? (DEFINICION. 25)",,"La que puede ser quitada fácilmente.","La que no puede ser quitada fácilmente.","La que puede ser desplazada cuando está sin tensión.","La que puede ser quitada fácilmente."
223,"¿Dónde se situarán los dispositivos generales de mando y protección? (ITC-BT 17)",,"Lo más lejos posible del punto de entrada de la derivación individual en el local o vivienda del usuario.","Lo más cerca posible del punto de entrada de la derivación individual en el local o vivienda del usuario.","Al lado de la puerta de entrada del aseo de la vivienda o local.","Lo más cerca posible del punto de entrada de la derivación individual en el local o vivienda del usuario."
224,"¿Qué dispositivo se admite para la protección contra cortocircuitos? (ITC-BT 22)",,"Interruptor diferencial.","Interruptor automático con corte omnipolar.","Las dos son correctas.","Interruptor automático con corte omnipolar."
225,"Se podrá instalar un conductor de protección común a varios circuitos en la instalación de una discoteca. (ITC-BT 18)",,"Sí, en cuyo caso su sección debe dimensionarse en función de la fase del circuito de mayor sección.","Nunca.","Sólo en caso debidamente justificados por imposibilidad técnica de instalar un conductor de protección por circuito.","Sí, en cuyo caso su sección debe dimensionarse en función de la fase del circuito de mayor sección."
226,"¿Puede considerarse un centro de transformación como local afecto a un servicio eléctrico? (ITC-BT 30)",,"No.","Sí.","Solamente si su potencia es superior a 100 kW.","Sí."
227,"La intensidad de defecto, umbral de desconexión de los interruptores diferenciales para las instalaciones de alumbrado exterior, será como máximo. (ITC-BT 09)",,"500 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω.","300 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 300 Ω.","1 A si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω.","500 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω."
228,"Los materiales utilizados para la realización de la toma de tierra deberán: (ITC-BT 18)",,"Ser siempre de cobre.","Ser siempre de aluminio.","No afectar la resistencia mecánica y eléctrica por efecto de la corrosión.","No afectar la resistencia mecánica y eléctrica por efecto de la corrosión."
229,"¿Cómo denominamos a la tensión que aparece entre partes simultáneamente accesibles al ocurrir un fallo de aislamiento? (DEFINICION. 129)",,"Tensión asignada.","Tensión de defecto.","Tensión de contacto.","Tensión de contacto."
230,"Para los apartados de la norma UNE 20460-7-705 que se encuentran en estudio, ¿qué prescripciones particulares se aplicarán? (ITC-BT 35)",,"Se aplicará lo dispuesto para estos apartados en la ITC-BT 35.","Se aplicará lo dispuesto para estos apartados en instalaciones provisionales y temporales de obra.","Se aplicará lo dispuesto para estos apartados en la ITC-BT 34.","Se aplicará lo dispuesto para estos apartados en instalaciones provisionales y temporales de obra."
231,"(ITC-BT 18) Indíquese cuál de las siguientes respuestas es verdadera:",,"La toma de tierra no deberá establecerse por motivos funcionales.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones funcionales.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones de protección.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones de protección."
232,"(ITC-BT 47) ¿Cómo se instalarán los reóstatos de arranque y regulación de velocidad de un motor?",,"Deberán estar separados de la instalación por interruptores generales de corte unipolar.","Deberán estar provistos de un aislamiento de clase II.","Deberán estar separados de los muros 5 cm como mínimo.","Deberán estar separados de los muros 5 cm como mínimo."
233,"(ITC-BT 39) ¿Cómo se instalarán cercas eléctricas para ganado cercanas con diferentes alimentadores?",,"Se tomarán medidas convenientes para evitar que una persona o animal pueda tocarlas simultáneamente. Normalmente se considera suficiente una separación de 2 m, entre los conductores de unas y otras cercas.","No es posible instalar cercas eléctricas a menos de 4 m con distintas alimentaciones.","Se colocarán carteles que avisen de la existencia de dos fuentes de alimentación independientes.","Se tomarán medidas convenientes para evitar que una persona o animal pueda tocarlas simultáneamente. Normalmente se considera suficiente una separación de 2 m, entre los conductores de unas y otras cercas."
234,"(ITC-BT 16) ¿Cuál es la misión de la unidad funcional de interruptor general de maniobra en una concentración de contadores?",,"Su misión es dejar fuera de servicio, en caso de necesidad, toda la concentración de contadores.","Su misión es dejar fuera de servicio, en caso de necesidad, parte de la concentración de contadores.","Su misión es proteger la concentración de contadores.","Su misión es dejar fuera de servicio, en caso de necesidad, toda la concentración de contadores."
235,"(ITC-BT 10) En un edificio de oficinas, ¿qué carga mínima se considera para una oficina de 30m²?",,"3.000 W.","3.450 W.","5.750 W.","3.450 W."
236,"(ITC-BT 40) El factor de potencia mínimo en instalaciones con generadores síncronos conectados a la red de distribución pública, no será inferior con respecto a la potencia nominal a:",,"0,8 y sólo se permitirá en adelanto.","0,8, en adelanto o en retraso.","0,8 y sólo se permitirá en retraso.","0,8, en adelanto o en retraso."
237,"(ITC-BT 30 2.1.1) ¿Qué grado mínimo de resistencia a la corrosión deben tener los tubos instalados en montaje superficial en las instalaciones eléctricas de locales mojados?",,"4.","5.","3.","4."
238,"(ITC-BT 30) ¿Cuál será la anchura mínima de los pasillos de servicio de un local con baterías de acumuladores?",,"La anchura mínima de los pasillos de servicio será de 0,75 cm.","La anchura mínima de los pasillos de servicio será de 75 cm.","La anchura mínima de los pasillos de servicio será de 75 m.","La anchura mínima de los pasillos de servicio será de 75 cm."
239,"(ITC-BT 20) En una instalación interior, ¿a qué distancia mínima se mantendrán una canalización eléctrica de otra no eléctrica?",,"5 cm.","3 cm.","4 cm.","3 cm."
240,"¿Cómo se realizará la conexión entre el conductor en anillo de la toma de tierra y la estructura metálica de una vivienda? (ITC-BT 26)",,"Mediante grapas de conexión (perrillos).","De manera fiable y segura mediante soldadura aluminotérmica o autógena.","Las dos respuestas anteriores son correctas.","De manera fiable y segura mediante soldadura aluminotérmica o autógena."
241,"¿Es obligatorio realizar algún trámite ante la empresa distribuidora de energía para la instalación de un sistema de generación solar fotovoltaico e interconectado? (ITC-BT 40)",,"Sí, es obligatorio.","No es preciso.","Depende de la distancia del sistema de generación a la red de distribución pública.","Sí, es obligatorio."
242,"¿Se puede instalar un interruptor diferencial por cada circuito o grupo de circuitos y prescindir del interruptor diferencial general? (ITC-BT 17)",,"No, siempre debe existir un interruptor diferencial general.","Sí, siempre que queden protegidos todos los circuitos.","No, excepto que se instale un dispositivo de protección contra sobretensiones.","Sí, siempre que queden protegidos todos los circuitos."
243,"¿Cuál es el valor máximo de tensión que pueden adquirir las partes metálicas de los aparatos de utilización de una instalación eléctrica antes de que actúe la protección por corte automático de la alimentación? (ITC-BT 24)",,"24 V.","50 V.","12 V.","50 V."
244,"Indíquese el sistema de instalación no correcto para una vivienda: (ITC-BT 26)",,"Cables aislados bajo tubo curvable empotrado.","Cables aislados directamente empotrados.","Cables aislados bajo tubo rígido superficial.","Cables aislados directamente empotrados."
245,"La potencia total de cálculo a considerar para el diseño de una línea de alumbrado exterior constituida por 25 lámparas de incandescencia de 450 W y por 47 tubos de descarga de 250 W será: (ITC-BT 09)",,"32.400 VA.","11.500 VA.","23 kVA.","32.400 VA."
246,"¿Cómo estará construido o situado un transformador que pueda estar al alcance de personas no especializadas? (ITC-BT 48)",,"Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 60 V, sean inaccesibles.","Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 50 V, sean inaccesibles.","Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 50 V, sean accesibles.","Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 50 V, sean inaccesibles."
247,"¿Cuál es la longitud que se considera para calcular la caída de tensión de la línea general de alimentación? (ITC-BT 14)",,"Desde la caja general de protección hasta el cuadro de protección de cada abonado.","Desde la caja general de protección hasta la acometida.","Desde la caja general de protección hasta la centralización de contadores.","Desde la caja general de protección hasta la centralización de contadores."
248,"El neutro de una línea general de alimentación tiene una sección de 25 mm². ¿Qué sección máxima tendrán los conductores de fase? (ITC-BT 14)",,"25 mm².","50 mm².","Ambas respuestas son correctas.","50 mm²."
249,"¿Qué sistemas de protección podemos utilizar en un esquema TT para la protección contra contactos indirectos? (ITC-BT 24)",,"Únicamente dispositivos de protección de corriente diferencial residual.","Dispositivos de protección de corriente diferencial-residual, fusibles e interruptores automáticos.","Ninguna de las anteriores respuestas es correcta.","Dispositivos de protección de corriente diferencial-residual, fusibles e interruptores automáticos."
250,"Indíquese la tensión asignada mínima de los conductores rígidos aislados instalados bajo tubo en montaje superficial en un local húmedo. (ITC-BT 30)",,"No puede utilizarse este sistema de instalación.","0,6/1 kV.","450/750 V.","450/750 V."
251,"¿Cuál es el valor mínimo del factor de potencia de cada punto de luz de una instalación de alumbrado exterior? (ITC-BT 09)",,"0,80.","0,90.","0,85.","0,90."
252,"¿De qué trata la ITC-BT 32? (ITC-BT 32)",,"Trata de los requisitos particulares de instalación del equipo eléctrico de grúas, aparatos de elevación y transporte y similares como escaleras mecánicas, cintas transportadoras, puentes rodantes, cabrestantes, andamios eléctricos, etc.","Trata de las prescripciones de las instalaciones eléctricas de las piscinas, pediluvios y fuentes ornamentales.","Ninguna de las respuestas anteriores es correcta.","Trata de los requisitos particulares de instalación del equipo eléctrico de grúas, aparatos de elevación y transporte y similares como escaleras mecánicas, cintas transportadoras, puentes rodantes, cabrestantes, andamios eléctricos, etc."
253,"¿Cómo se realizará el paso de los conductores de protección a través de paredes o techos? (ITC-BT 19)",,"Estarán protegidos por un tubo de adecuada resistencia mecánica.","Estarán protegidos por una canal protectora.","Ninguna de las respuestas anteriores es correcta.","Estarán protegidos por un tubo de adecuada resistencia mecánica."
254,"¿Qué se entiende por instalación de enlace? (ITC-BT 12)",,"Es la que comienza en el final de la acometida y termina en los dispositivos generales de mando y protección.","Es la que une la caja general de protección con el interruptor de control de potencia.","Es la que comienza en el final de la acometida y termina en los dispositivos individuales de mando y protección.","Es la que comienza en el final de la acometida y termina en los dispositivos generales de mando y protección."
255,"Indíquese la previsión de carga mínima de un edificio de concentración de industrias con 8 locales de 300 m² cada uno. (ITC-BT 10)",,"300 kW.","82,8 kW.","37,5 kW.","300 kW."
256,"¿Cómo se podrá alimentar el alumbrado de seguridad? (ITC-BT 28)",,"Con un suministro normal exterior.","Con fuentes propias de energía.","Ninguna respuesta anterior es correcta.","Con fuentes propias de energía."
257,"¿Qué sección mínima tendrá el conductor de protección a instalar en un circuito constituido por conductores de fase de 35 mm² colocados en el interior de un tubo empotrado? (ITC-BT 19)",,"16 mm².","25 mm².","35 mm².","16 mm²."
258,"¿Cómo se efectuará la medida de aislamiento con relación a tierra? (ITC-BT 19)",,"Uniendo a tierra el polo positivo del generador y dejando, en principio, todos los receptores conectados y sus mandos en posición de 'paro', los dispositivos de interrupción se pondrán en posición de 'cerrado' y los cortacircuitos instalados como en servicio normal.","Uniendo a tierra el polo positivo del generador y dejando, en principio, todos los receptores desconectados y sus mandos en posición de 'marcha', los dispositivos de interrupción se pondrán en posición de 'cerrado' y los cortacircuitos instalados como en servicio normal.","Ninguna de las respuestas anteriores es correcta.","Uniendo a tierra el polo positivo del generador y dejando, en principio, todos los receptores conectados y sus mandos en posición de 'paro', los dispositivos de interrupción se pondrán en posición de 'cerrado' y los cortacircuitos instalados como en servicio normal."
259,"¿Qué tensión debe resistir una instalación de 230 V si la sometemos durante 1 minuto al ensayo de rigidez dieléctrica? (ITC-BT 19)",,"1.460 V.","1.000 V.","1.500 V.","1.500 V."
260,"¿Pueden los fusibles del cuadro de baja tensión de un centro de transformación utilizarse como protección de la línea general de alimentación desempeñando la función de caja general de protección? (ITC-BT 13)",,"Sí, en el caso de edificios que tengan en su interior un centro de transformación para distribución en baja tensión, pero en este caso la propiedad y el mantenimiento de la protección serán de la empresa suministradora.","Sí, en el caso de edificios que tengan en su interior un centro de transformación para distribución en baja tensión, pero en este caso la propiedad y el mantenimiento de la protección serán del usuario.","Ninguna de las respuestas anteriores es correcta.","Sí, en el caso de edificios que tengan en su interior un centro de transformación para distribución en baja tensión, pero en este caso la propiedad y el mantenimiento de la protección serán de la empresa suministradora."
261,"¿Cuál es la caída de tensión máxima permitida para líneas generales de alimentación destinadas a contadores totalmente centralizados? (ITC-BT 14)",,"0,5%.","1%.","1,5%.","0,5%."
262,"¿Cómo serán los conductores activos de la instalación eléctrica de una vivienda? (ITC-BT 26)",,"De cobre, aislados y con una tensión asignada de 450/750 V, como máximo.","De cobre o de aluminio.","De cobre, aislados y con una tensión asignada de 450/750 V, como mínimo.","De cobre, aislados y con una tensión asignada de 450/750 V, como mínimo."
263,"¿Cuáles de los siguientes tipos de cables pueden utilizarse en un puerto marino si no están instalados bajo conducto? (ITC-BT 42 4.2 Canalizaciones)",,"Cables sin aislamiento.","Cables con armadura y cubierta de material termoplástico o elastómero.","Otros cables y materiales sin importar la protección mecánica.","Cables con armadura y cubierta de material termoplástico o elastómero."
264,"¿Cuál será la tensión de contacto límite convencional máxima para el diseño de la protección contra contactos indirectos por corte automático de la alimentación? (ITC-BT 24)",,"24 V.","12 V.","50 V.","50 V."
265,"Una vivienda de 50 m², ¿puede tener grado de electrificación elevado? (ITC-BT 25)",,"No, porque con esta superficie le corresponde grado de electrificación básico.","Sí, sólo si tiene instalado el circuito adicional para aire acondicionado.","Sí, siempre que disponga de la instalación adecuada.","Sí, siempre que disponga de la instalación adecuada."
266,"¿Cuál de las siguientes afirmaciones relativas a la caja general de protección es la verdadera? (ITC-BT 13)",,"Será construida por la empresa suministradora bajo su inspección y verificación final.","Es propiedad y responsabilidad de la empresa suministradora.","Aloja los elementos de protección de la línea general de alimentación.","Aloja los elementos de protección de la línea general de alimentación."
267,"¿En qué condiciones una instalación está en situación controlada en relación con la protección contra sobretensiones? (ITC-BT 23)",,"Cuando una instalación se alimenta por una línea aérea con conductores desnudos.","Cuando una instalación se alimenta por una línea aérea con conductores aislados.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
268,"¿Cuál es el grado de corrosión mínimo exigido a los tubos instalados en montaje superficial en un local en el que hay manchas salinas permanentes en el techo? (ITC-BT 30)",,"4.","2.","3.","3."
